Color,Size,Shape,Material,Brand,PriceLevel
Yellow,Medium,Round,Wood,BrandB,Low
Black,Small,Square,Glass,BrandB,Low
Green,Medium,Round,Wood,BrandC,High
Black,Small,Triangle,Plastic,BrandB,High
Black,Large,Round,Glass,BrandB,Low
Blue,Large,Round,Plastic,BrandC,High
Green,Small,Square,Plastic,BrandA,Medium
Green,Small,Square,Metal,BrandC,Medium
Green,Small,Triangle,Metal,BrandA,Medium
Black,Large,Round,Plastic,BrandC,Low
Yellow,Small,Round,Plastic,BrandC,High
Green,Large,Round,Plastic,BrandB,Low
Black,Medium,Triangle,Metal,BrandA,High
Blue,Large,Triangle,Metal,BrandB,Medium
Yellow,Large,Square,Wood,BrandA,Low
Blue,Medium,Square,Wood,BrandC,High
Yellow,Large,Square,Plastic,BrandC,High
Black,Small,Round,Glass,BrandA,Medium
Red,Small,Round,Glass,BrandB,Low
Yellow,Large,Square,Metal,BrandB,Low
Blue,Small,Round,Metal,BrandB,Low
Black,Large,Square,Metal,BrandB,Medium
Yellow,Small,Triangle,Plastic,BrandC,Low
Red,Small,Square,Glass,BrandC,Medium
Red,Large,Triangle,Wood,BrandC,Medium
Green,Small,Round,Plastic,BrandC,Medium
Green,Large,Square,Wood,BrandC,High
Blue,Small,Round,Wood,BrandB,Low
Yellow,Small,Triangle,Plastic,BrandB,Low
Yellow,Medium,Triangle,Wood,BrandB,Medium
Green,Medium,Triangle,Glass,BrandB,Medium
Yellow,Large,Round,Wood,BrandC,Low
Yellow,Medium,Round,Glass,BrandC,Medium
Red,Large,Round,Glass,BrandC,Low
Green,Medium,Round,Glass,BrandA,High
Black,Small,Triangle,Metal,BrandB,Medium
Green,Large,Triangle,Wood,BrandB,Low
Black,Large,Square,Plastic,BrandC,Medium
Red,Small,Square,Plastic,BrandB,Low
Blue,Large,Round,Wood,BrandB,Low
Yellow,Large,Triangle,Metal,BrandC,Medium
Red,Medium,Triangle,Metal,BrandA,High
Yellow,Large,Triangle,Glass,BrandA,Low
Blue,Small,Square,Wood,BrandA,Low
Blue,Medium,Square,Wood,BrandC,Low
Red,Medium,Triangle,Plastic,BrandB,High
